id,state,optimal_depth,total_nodes_a
1,5 4 3 7 1 12 6 2 8 10 11 0 13 9 14 15,21,
2,4 1 10 6 8 5 2 0 12 9 11 3 13 14 7 15,22,
3,4 1 2 3 9 5 6 10 8 11 14 7 0 12 15 13,23,
4,5 4 2 3 8 12 10 7 1 6 0 11 13 9 14 15,24,
5,2 6 11 0 1 5 3 7 9 4 13 10 8 12 14 15,25,
6,8 4 3 7 1 5 6 10 0 13 15 2 9 12 11 14,26,
7,4 1 7 15 8 5 3 10 12 6 2 0 9 13 11 14,27,
8,4 1 2 3 11 0 5 15 6 8 7 14 12 9 13 10,28,
9,6 4 1 3 7 9 10 5 8 11 14 0 12 13 15 2,29,
10,13 1 5 7 2 9 3 11 8 4 0 10 12 14 6 15,30,
11,5 2 7 11 12 9 3 15 1 4 6 0 13 14 8 10,31,
12,7 1 5 3 4 15 2 11 0 9 14 6 8 12 10 13,32,
13,8 5 6 7 4 1 2 3 14 9 11 0 12 13 10 15,33,
14,1 2 3 4 12 0 11 10 8 5 7 15 6 13 9 14,34,
15,4 1 5 6 12 9 11 3 10 0 8 15 13 2 14 7,35,
16,4 1 2 7 6 0 15 11 5 13 3 10 8 14 12 9,36,
17,1 8 10 3 0 6 15 2 4 12 11 7 5 13 9 14,37,
18,7 4 1 2 5 12 6 10 0 8 15 3 9 13 14 11,38,
19,5 0 2 8 1 4 6 7 15 9 3 14 12 13 11 10,39,
20,0 4 1 7 5 10 2 14 8 9 13 15 3 6 12 11,40,
