instance_id,state,scramble_depth,source
puzzle4x4_d21_seed0,5 4 3 7 1 12 6 2 8 10 11 0 13 9 14 15,depth_21,scramble
puzzle4x4_d21_seed1,1 8 2 3 0 4 6 7 9 5 14 13 12 15 11 10,depth_21,scramble
puzzle4x4_d21_seed2,4 1 3 7 0 5 9 2 13 11 6 15 8 12 14 10,depth_21,scramble
puzzle4x4_d21_seed3,5 2 3 0 1 4 6 7 8 9 11 15 12 13 14 10,depth_21,scramble
puzzle4x4_d21_seed4,4 0 7 2 12 1 6 3 8 5 10 11 13 14 9 15,depth_21,scramble
puzzle4x4_d21_seed5,1 2 3 7 4 5 6 11 12 0 8 10 9 13 14 15,depth_21,scramble
puzzle4x4_d21_seed6,1 5 3 7 4 6 15 2 12 8 9 11 13 10 0 14,depth_21,scramble
puzzle4x4_d21_seed7,4 1 2 3 8 6 0 7 13 5 14 15 10 12 11 9,depth_21,scramble
puzzle4x4_d21_seed8,4 1 3 6 5 9 7 10 8 13 2 11 0 12 14 15,depth_21,scramble
puzzle4x4_d21_seed9,5 6 3 7 1 2 4 15 8 9 10 14 12 13 0 11,depth_21,scramble
puzzle4x4_d22_seed0,4 1 10 6 8 5 2 0 12 9 11 3 13 14 7 15,depth_22,scramble
puzzle4x4_d22_seed1,1 2 3 11 4 6 7 15 8 5 10 14 12 13 9 0,depth_22,scramble
puzzle4x4_d22_seed2,8 4 1 3 12 0 2 6 9 5 10 15 13 14 11 7,depth_22,scramble
puzzle4x4_d22_seed3,1 5 2 3 9 7 4 11 8 10 6 15 12 13 14 0,depth_22,scramble
puzzle4x4_d22_seed4,1 2 6 3 9 4 5 7 12 10 0 14 8 13 15 11,depth_22,scramble
puzzle4x4_d22_seed5,5 4 2 3 8 0 6 7 9 1 11 15 12 10 13 14,depth_22,scramble
puzzle4x4_d22_seed6,0 1 2 7 4 5 3 6 13 9 11 15 8 10 12 14,depth_22,scramble
puzzle4x4_d22_seed7,5 6 2 3 1 10 7 11 8 9 15 14 4 12 13 0,depth_22,scramble
puzzle4x4_d22_seed8,1 5 2 3 4 6 7 0 8 9 15 10 12 13 14 11,depth_22,scramble
puzzle4x4_d22_seed9,4 1 2 3 8 0 6 7 9 5 11 15 12 10 13 14,depth_22,scramble
puzzle4x4_d23_seed0,4 1 2 3 9 5 6 10 8 11 14 7 0 12 15 13,depth_23,scramble
puzzle4x4_d23_seed1,4 0 1 2 8 5 6 3 12 9 10 7 13 14 15 11,depth_23,scramble
puzzle4x4_d23_seed2,9 5 1 3 0 4 2 6 12 14 8 7 13 10 15 11,depth_23,scramble
puzzle4x4_d23_seed3,1 5 2 3 8 9 0 7 13 12 4 10 14 15 6 11,depth_23,scramble
puzzle4x4_d23_seed4,1 5 3 6 0 9 2 7 4 8 13 10 12 14 15 11,depth_23,scramble
puzzle4x4_d23_seed5,5 4 2 3 1 9 6 7 8 11 15 10 12 13 0 14,depth_23,scramble
puzzle4x4_d23_seed6,1 0 2 7 4 5 3 6 8 12 11 15 10 9 13 14,depth_23,scramble
puzzle4x4_d23_seed7,4 1 3 7 0 2 11 14 8 5 10 6 12 9 15 13,depth_23,scramble
puzzle4x4_d23_seed8,4 1 2 3 5 6 10 7 14 8 11 15 12 13 0 9,depth_23,scramble
puzzle4x4_d23_seed9,5 0 4 3 8 6 2 7 9 1 13 10 12 14 15 11,depth_23,scramble
puzzle4x4_d24_seed0,5 4 2 3 8 12 10 7 1 6 0 11 13 9 14 15,depth_24,scramble
puzzle4x4_d24_seed1,1 4 5 2 8 7 6 3 13 12 15 10 9 0 14 11,depth_24,scramble
puzzle4x4_d24_seed2,9 5 1 7 4 13 3 0 8 14 6 2 12 10 15 11,depth_24,scramble
puzzle4x4_d24_seed3,1 6 3 7 4 2 10 5 0 13 15 14 8 12 11 9,depth_24,scramble
puzzle4x4_d24_seed4,5 4 1 3 8 6 2 11 10 9 14 7 12 13 15 0,depth_24,scramble
puzzle4x4_d24_seed5,4 5 1 2 12 6 3 7 13 8 0 9 14 15 10 11,depth_24,scramble
puzzle4x4_d24_seed6,5 4 10 6 8 2 1 3 9 13 0 14 12 15 11 7,depth_24,scramble
puzzle4x4_d24_seed7,0 4 2 3 5 1 7 11 8 6 14 13 12 10 9 15,depth_24,scramble
puzzle4x4_d24_seed8,0 1 6 3 9 2 8 7 12 10 5 11 13 4 14 15,depth_24,scramble
puzzle4x4_d24_seed9,9 4 1 6 8 3 2 7 5 10 0 11 12 13 14 15,depth_24,scramble
puzzle4x4_d25_seed0,1 3 7 6 0 4 11 2 8 5 9 10 12 13 14 15,depth_25,scramble
puzzle4x4_d25_seed1,4 1 5 0 13 10 2 3 8 6 9 7 12 14 15 11,depth_25,scramble
puzzle4x4_d25_seed2,5 0 1 2 4 8 7 3 12 14 6 11 13 10 9 15,depth_25,scramble
puzzle4x4_d25_seed3,4 0 3 7 5 1 6 2 12 9 8 15 13 14 11 10,depth_25,scramble
puzzle4x4_d25_seed4,2 6 11 0 1 5 3 7 9 4 13 10 8 12 14 15,depth_25,scramble
puzzle4x4_d25_seed5,5 2 3 7 1 9 6 11 12 4 14 0 13 10 15 8,depth_25,scramble
puzzle4x4_d25_seed6,4 1 3 7 9 5 6 11 12 0 10 15 8 2 13 14,depth_25,scramble
puzzle4x4_d25_seed7,8 4 1 3 9 2 5 7 13 0 11 6 12 14 10 15,depth_25,scramble
puzzle4x4_d25_seed8,1 4 2 3 5 10 6 7 9 0 11 15 8 12 13 14,depth_25,scramble
puzzle4x4_d25_seed9,1 5 9 2 8 6 15 3 12 4 11 0 13 14 10 7,depth_25,scramble
puzzle4x4_d26_seed0,5 4 1 2 8 6 3 7 12 9 11 15 13 10 14 0,depth_26,scramble
puzzle4x4_d26_seed1,8 4 3 7 1 5 6 10 0 13 15 2 9 12 11 14,depth_26,scramble
puzzle4x4_d26_seed2,4 1 7 5 6 12 2 3 0 14 9 11 8 13 10 15,depth_26,scramble
puzzle4x4_d26_seed3,1 3 6 7 10 2 9 4 8 5 0 11 12 13 14 15,depth_26,scramble
puzzle4x4_d26_seed4,6 2 1 3 4 0 10 5 8 13 9 7 12 14 15 11,depth_26,scramble
puzzle4x4_d26_seed5,4 9 11 1 5 3 6 7 8 2 0 14 12 13 15 10,depth_26,scramble
puzzle4x4_d26_seed6,1 8 4 3 12 5 6 7 0 2 10 11 13 9 14 15,depth_26,scramble
puzzle4x4_d26_seed7,8 1 4 2 12 5 10 3 9 14 6 7 13 0 15 11,depth_26,scramble
puzzle4x4_d26_seed8,2 9 3 7 1 5 10 6 8 13 0 15 12 4 11 14,depth_26,scramble
puzzle4x4_d26_seed9,12 1 2 3 8 4 6 0 5 9 11 7 13 14 10 15,depth_26,scramble
puzzle4x4_d27_seed0,4 5 1 3 14 8 2 10 12 13 6 7 0 9 15 11,depth_27,scramble
puzzle4x4_d27_seed1,4 1 7 15 8 5 3 10 12 6 2 0 9 13 11 14,depth_27,scramble
puzzle4x4_d27_seed2,8 0 4 1 5 6 3 2 13 11 15 7 9 12 14 10,depth_27,scramble
puzzle4x4_d27_seed3,5 2 3 7 1 9 14 6 4 0 15 11 8 12 10 13,depth_27,scramble
puzzle4x4_d27_seed4,3 0 5 7 1 2 6 11 4 8 13 15 9 12 10 14,depth_27,scramble
puzzle4x4_d27_seed5,4 5 2 3 8 1 7 11 9 12 10 0 13 6 14 15,depth_27,scramble
